SEP=;
Postagem de teste 001;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;1;1
Postagem de teste 002;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;2;2;1
Postagem de teste 003;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;3;3;1
Postagem de teste 004;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;4;1;1
Postagem de teste 005;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;5;2;1
Postagem de teste 006;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;1;3;1
Postagem de teste 007;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;2;1;1
Postagem de teste 008;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;3;2;1
Postagem de teste 009;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;4;3;1
Postagem de teste 010;Lorem ipsum dolor sit amet, consectetur adipiscing elit. Integer libero eros, malesuada varius nunc a, ullamcorper placerat ligula. Quisque interdum elementum risus, sed dapibus nibh egestas at. Nulla dignissim tincidunt diam at pulvinar. Ut non maximus diam. Aliquam non arcu in elit fermentum bibendum. Cras at ante odio. Praesent hendrerit iaculis eros, in facilisis dui tristique non.;5;4;1
